14/06/2016 (C) FTSE International Limited 2016. All Rights Reserved,,,,,,,,,,,,,,,,,,,,
FTSE ESG Ratings (Global) - Pillar,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
Cons Code,SEDOL,ISIN,Local Market,CUSIP,Constituent Name,Country Code,ISO Code,Exchange Code,Industry Code,Supersector Code,Sector Code,Subsector Code,Pillar,Exposure,Previous Exposure,Score,Previous Score,Score (Supersector Relative),Previous Score (Supersector Relative),Time
C143836,B92SR70,US00287Y1091,ABBV,00287Y109,AbbVie Inc          ,USA ,US,XNYS,4000,4500,4570,4577,Governance Pillar,2.7,2.7,2.8,2.8,4,5,2016-06
C53817,6292102,JP3152740001,2670,,ABC-Mart            ,JA  ,JP,XTKS,3000,3700,3760,3765,Environmental Pillar,2,2,0.2,0.2,1,1,2016-06
C53817,6292102,JP3152740001,2670,,ABC-Mart            ,JA  ,JP,XTKS,3000,3700,3760,3765,Social Pillar,2,2,0.2,0.2,1,1,2016-06
C53817,6292102,JP3152740001,2670,,ABC-Mart            ,JA  ,JP,XTKS,3000,3700,3760,3765,Governance Pillar,2,2,2,2,3,3,2016-06
C33675,3128,GB0000031285,ADN,,Aberdeen Asset Manag,UK  ,GB,XLON,8000,8700,8770,8771,Environmental Pillar,1,1,5,4,10,9,2016-06
C33675,3128,GB0000031285,ADN,,Aberdeen Asset Manag,UK  ,GB,XLON,8000,8700,8770,8771,Social Pillar,2,2,3.7,2.7,10,9,2016-06
C33675,3128,GB0000031285,ADN,,Aberdeen Asset Manag,UK  ,GB,XLON,8000,8700,8770,8771,Governance Pillar,2.8,2.8,3.1,2.5,7,4,2016-06
C20322,4065663,ES0111845014,,,Abertis Infraestruct,SP  ,ES,XMAD,2000,2700,2770,2777,Environmental Pillar,2.7,2.7,2.9,2.6,7,7,2016-06
C20322,4065663,ES0111845014,,,Abertis Infraestruct,SP  ,ES,XMAD,2000,2700,2770,2777,Social Pillar,2.3,2.3,3.8,2.3,10,6,2016-06
C20322,4065663,ES0111845014,,,Abertis Infraestruct,SP  ,ES,XMAD,2000,2700,2770,2777,Governance Pillar,2.3,2,2.7,2,5,3,2016-06
C167005,BYQP136,NL0011540547,,,ABN AMRO Group NV   ,NETH,NL,XAMS,8000,8300,8350,8355,Environmental Pillar,nc,nc,nc,nc,nc,nc,2016-06
C167005,BYQP136,NL0011540547,,,ABN AMRO Group NV   ,NETH,NL,XAMS,8000,8300,8350,8355,Social Pillar,nc,nc,nc,nc,nc,nc,2016-06
C167005,BYQP136,NL0011540547,,,ABN AMRO Group NV   ,NETH,NL,XAMS,8000,8300,8350,8355,Governance Pillar,nc,nc,nc,nc,nc,nc,2016-06
C85001,B4BNMY3,IE00B4BNMY34,ACN,G1151C101,Accenture Cl A      ,USA ,US,XNYS,2000,2700,2790,2791,Environmental Pillar,2,2,3.5,3.5,9,9,2016-06
C85001,B4BNMY3,IE00B4BNMY34,ACN,G1151C101,Accenture Cl A      ,USA ,US,XNYS,2000,2700,2790,2791,Social Pillar,2,2,3.4,3.4,9,10,2016-06
C85001,B4BNMY3,IE00B4BNMY34,ACN,G1151C101,Accenture Cl A      ,USA ,US,XNYS,2000,2700,2790,2791,Governance Pillar,2.7,2.7,2.4,2.4,3,4,2016-06
C20331,5579107,ES0125220311,,,Acciona S.A.        ,SP  ,ES,XMAD,2000,2300,2350,2357,Environmental Pillar,2.8,2.8,4.2,4,10,10,2016-06
